# CREATED_DATE: 2023-02-01T18:00:43.822Z
# MODIFIED_DATE: 2024-02-14T10:03:44.841Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: NGC2708:[PWL2002]STR; (08:56:12.50, -03:17:58.99)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2023bee
# RA: 134.0484380100887
# DEC: -3.3255440014668474
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-02-01T17:59:54.816Z
# REDSHIFT: 0.006698
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-01-31T09:10:17Z
# NON_DETECT_LIMIT: 17.71
# MW_EBV: 0.014
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.jpeg
# POSTAGE_STAMP_REF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.jpeg
# POSTAGE_STAMP_DIFF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.fits
# POSTAGE_STAMP_REF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023bee
# REAL_BOGUS_SCORE: 0.0943543
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [10, 16, 21, 22, 29, 30, 32, 47, 68, 90, 100]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      60043.173  orange-ATLAS  102.964  0.702  15.268  0.007  None  ATLAS  HKO  None
OBS:      60045.091  orange-ATLAS  94.909  0.502  15.357  0.006  None  ATLAS  HKO  None
OBS:      60054.067  cyan-ATLAS  73.313  0.372  15.637  0.006  None  ATLAS  HKO  None
OBS:      60057.044  cyan-ATLAS  68.679  0.466  15.708  0.007  None  ATLAS  HKO  None
OBS:      60063.025  orange-ATLAS  54.096  0.552  15.967  0.011  None  ATLAS  HKO  None
OBS:      60064.776  orange-ATLAS  51.339  0.908  16.024  0.019  None  ATLAS  HKO  Bad
OBS:      60066.059  orange-ATLAS  48.204  0.578  16.092  0.013  None  ATLAS  HKO  None
OBS:      60070.110  orange-ATLAS  42.670  0.864  16.225  0.022  None  ATLAS  HKO  None
OBS:      60070.782  orange-ATLAS  41.651  0.527  16.251  0.014  None  ATLAS  HKO  None
OBS:      60071.997  orange-ATLAS  41.155  0.616  16.264  0.016  None  ATLAS  HKO  None
OBS:      60072.028  orange-ATLAS  41.146  0.651  16.264  0.017  None  ATLAS  HKO  None
OBS:      59922.424  g-ZTF  188.400  388.318  21.812  2.238  None  P48  ZTF-Cam  None
OBS:      59922.482  r-ZTF  -86.513  273.139  nan  -3.428  None  P48  ZTF-Cam  None
OBS:      59928.474  r-ZTF  -463.098  426.793  nan  -1.001  None  P48  ZTF-Cam  None
OBS:      59932.442  g-ZTF  -176.144  124.223  nan  -0.766  None  P48  ZTF-Cam  None
OBS:      59932.461  r-ZTF  -315.090  158.554  nan  -0.546  None  P48  ZTF-Cam  None
OBS:      59934.414  g-ZTF  177.983  154.585  21.874  0.943  None  P48  ZTF-Cam  None
OBS:      59934.420  r-ZTF  141.427  173.578  22.124  1.333  None  P48  ZTF-Cam  None
OBS:      59936.436  r-ZTF  328.494  140.942  21.209  0.466  None  P48  ZTF-Cam  None
OBS:      59936.444  g-ZTF  -27.947  131.212  nan  -5.098  None  P48  ZTF-Cam  None
OBS:      59940.273  g-ZTF  73.367  251.934  22.836  3.729  None  P48  ZTF-Cam  None
OBS:      59953.337  r-ZTF  2947.988  1270.257  18.826  0.468  None  P48  ZTF-Cam  None
OBS:      59957.379  r-ZTF  -96.596  224.840  nan  -2.527  None  P48  ZTF-Cam  None
OBS:      59957.401  g-ZTF  -15.431  358.292  nan  -25.210  None  P48  ZTF-Cam  None
OBS:      59965.359  g-ZTF  -190.696  221.861  nan  -1.263  None  P48  ZTF-Cam  None
OBS:      59968.276  r-ZTF  357.196  183.967  21.118  0.559  None  P48  ZTF-Cam  None
OBS:      59968.337  g-ZTF  -86.475  145.885  nan  -1.832  None  P48  ZTF-Cam  None
